oclc,authorName,authorDates,ENDFullTitle,pubLocationStatement,pubDateTranscribed,format,formatStatement,generalNotes,paratextTitleControlled,paratext,epigraphBoolean,narrativeFormPrimary,narrativeFormAdditional,nonProseForms,inscriptionBoolean,marginaliaBoolean,translationClaimControlled,titleOtherWorks,titleNouns,titleAdjectives,titlePlaces,titleNames,titleVerbs,titleObjects,titleAdverbs,catalogedBy,Column,Column 29,Column 30,Column 31
260496,"Weston, Anna Maria.",,"Pleasure and pain, or the fate of Ellen; A novel. In three volumes. Anna Maria Weston. Vol. I.",London :,1814,Duodecimo,In three volumes.,,,,0,Third-person,Poem(s),,0,0,,,"pleasure, pain, fate, novel, pleasure, pain, fate, novel, pleasure, pain, fate, novel",,,"Ellen, Anna Maria Weston, Ellen, Anna Maria Weston, Ellen, Anna Maria Weston",,,,,,,,
260498,"Hawkins, Laetitia Matilda,",1760-1835.,"Rosanne; or, a father's labour lost. In three volumes. By Laetitia-Matilda Hawkins. Volume I.",London :,1814,Octavo,In three volumes.,,"Dedication, Advertisement, Errata",,1,,,,0,0,,,"father, labour",lost,,"Rosanne, Laetitia-Matilda Hawkins, Rosanne",,,,,,,,
260500,"Orrery, Roger Boyle,",1621-1679.,"Royal adventures: being the amorous history of King Henry the Eighth, and his court, &c. Wrote by a party in his pleasures; and now publish'd from the original papers, by a person of quality. Price one shilling",London :,1750,Duodecimo,,"Originally published under title: English adventures., ""The Earl of Orrery is the reputed author of 'English adventures, by a person of quality,' 1676."" -- Dict. nat. biog., ""The end of the first tome ..."": p. 78; no further vols. published., Signatures: [pi]1, B-E8, F7",,,1,Third-person,,,0,0,,,"adventure, history, king, court, party, pleasure, paper, person, quality, price, shilling","Royal, amorous, original",,King Henry the Eighth,,,,,,,,
260503,"Manley,",1663-1724.,Secret memoirs and manners of several persons of quality of both sexes. From the new Atalantis an island in the Mediterranean. In four volumes. Written originally in Italian. Vol. I,London :,1720,Duodecimo,In four volumes.,"Running title: The New Atalantis., Frontispiece caption reads: O sacred truth inspire and rule my page- so may reforming satire mend a vicious- Whilst thy enlightening rays adorn & guard- Astrea's glorious form surveys the race,- And virtue wears ye bright Ormonda's face, Vols. 3-4 were first published in 1710 under the title Memoirs of Europe, towards the close of the eight century. Written by Eginardus...","Dedication, Dedication, Dedication, Preface, Dedication, Preface, Key",,0,Third-person,First-person,,0,1,Translation,,"memoir, manner, person, sex, island","Secret, several, quality, both, new, Italian","Atalantis, Mediterranean",,,,,,,,,
260507,"Leadbeater, Mary,",1758-1826.,,Dublin :,1814,,,,,,0,,,,0,0,,,,,,,,,,,,,,
260508,"Burney, Sarah Harriet,",1772-1844.,"Tales of fancy, by S.H. Burney. Vol. I Containing the shipwreck",London :,1816,Duodecimo,,,"Dedication, Dedication",,1,"Third-person, First-person",Epistolary,,0,0,,,"tale, fancy, shipwreck, tale, fancy, Author, Trait, nature, shipwreck, shipwreck, tale, tale, fancy, Author, Trait, nature, Country, neighbour, secret, country, neighbour, tale, fancy, country, neighbour, country, neighbour",,,"S.H. Burney, S.H. Burney, Clarentine, Geraldine Fauconberg, S.H. Burney, S.H. Burney, , Clarentine, S.H. Burney, ",,,,,,,,
260518,"Lambert de Saumery, Pierre,",b. ca. 1690.,Adventures of Astaroth banish'd from hell.,London :,1742,,,Anonymous. By Pierre Lambert de Saumery.,,,0,,,,0,0,,,,,,,,,,,,,,
260658,"Godwin, William,",1756-1836.,The travels of St. Leon,London :,1816,Octavo,,,,,1,,,,0,0,,,"travel, tale, century",sixteenth,,"St. Leon, St. Leon, William Godwin",,,,,,,,
260659,"Malory, Thomas,",15th cent.,,"London,",1816,,,"Each volume has added t.-p. engraved., First printed by Caxton in 1485.  The 2d edition was printed by Wynkyn de Worde in 1498.  A 3d edition was printed by Thomas East, but without date; after which no edition can be traced until that of 1634, of which the volume now before the reader is an exact reprint.  cf. Pref., Printed for the last time in black letter in the year 1634 by William Stansby.",,,0,,,,0,0,,,,,,,,,,,,,,
260660,"Fielding, Henry,",1707-1754.,"The history of the adventures of Joseph Andrews. By Henry Fielding, Esq. London, published by J. Walker, Paternoster Row, and J. Harris, St. Pauls Church Yard.",London :,1810,,,"Added t. p., engraved., Illustrated frontispiece with the caption, ""Joseph and Fanny taking advantage of the parson's nap, to enjoy a tete a tete. Pg. 159.","Preface, Introduction",,0,Third-person,Epistolary,,0,0,,,"history, adventure, history, adventure, friend, imitation, manner, author",,"London, Paternoster Row, St. Pauls Church Yard","Joseph Andrews, Henry Fielding, Esq., J. Walker, J. Harris, Joseph Andrews, Mr. Abraham Adams, Cervantes, Don Quixote, Henry Fielding, Esq.",,,,,,,,
260661,"Bunyan, John,",1628-1688.,"The pilgrim's progress from this world to that which is to come. Delivered under the similitude of a dream. In three parts. By John Bunyan. A New edition, divided into chapters. With the life of the author. To which are added, Explanatory and practical notes, by Messrs. Mason, Scott, and Burder. Embellished with elegant engravings.",Philadelphia :,1811,,Three parts in one volume.,"There is an engraving on page 46 with the following description: ""Evangelist directing Christian to flee from the City of Destruction."", There is an engraving on page 216 with the following description: ""Christian & Hopeful having passed the river are received by the Ministering Spirits."", There is an engraving on page 231 with the following description: ""Christiana prevails with her Children to go on Pilgrimage."", There is an engraving on page 234 with the following description: ""Christiana, her children, and Mercy leave the City of Destruction."", There is an engraving on page 269 with the following description: ""Christiana, Mercy, & her children passing the gibbet of Sloth, Simple, & Presumption."", There is an engraving on page 340 with the following description: ""Doubting Castle Demolished."", There is an engraving on page 342 with the following description: ""Godly-man persecuted by Prejudice and Ill-will at Mount Innocence."", There is a brief plot summary preceding each chapter., Part 3 has special t. p.","Preface, About the author, Note, Conclusion, Preface, Table of contents","Begins: ""The high estimation in which the 'Pilgrim's Progress' has been held for above a century, sufficiently evinces its intrinsic value: and there is every reason to suppose, that it will be read with admiration for ages to come; probably till the consummation of all things."", Ends: ""The subject matter is so entertaining, that the attention of all would be secured; and the practical improvements might tend, by the blessing of God, to enlighten their minds in the grand truths of the gospel of Christ."", Begins: ""The Whole compass of biography exhibits not a character more interesting, that that of a man converted from singular depravity of manners, to eminent piety; and raised from the deepest obscurity, to be an author celebrated for genius, and uncommonly useful to mankind. Such was the excellent writer of the Pilgrim's Progrss."", Ends: ""His works form two large volumes in folio, and contain, according to Mr. Grainger, as many tracts as he had lived years: a great part of them were probably the substance of his pulpit discourses, which he used commonly to commit to writing, not before, but after, he had preached them."", written in verse, First stanza: ""When at the first I took my pen in hand, -- Thus for to write, I did not understand -- That I at all should make a little Book -- In such a mode: nay, I had undertook -- To make another; which, when almost done, -- Before I was aware, I thus begun."", Last four lines: ""Wouldst read thyself, and read thou know'st not what, -- And yet know whether thou art bless'd or not, -- By reading the same lines? O then come hither -- And lay my book, thy head, and heart, together."", Signed, ""John Bunyan."", written in verse, Begins: ""Now Reader, I have told my dream to thee, -- See if thou canst interpret it to me, -- Or to thyself, or neighbour; but take heed -- Of misinterpreting; for that, instead -- Of doing good, will but thyself abuse; -- By misinterpreting, evil ensues."", Ends: ""End of the First Part."", written in verse, Begins: ""Go now, my little book, to every place, -- Where my fisrt Pilgrim has but shown his face: -- Call at the door; if any say, Who's there? -- Then answer thou, Christinana is here."", Ends: ""Now may this little book a blessing be -- To those who love this little book and me; -- And may its buyer have no cause to say, -- His money is but lost, or thrown away. -- Yea, may this second Pilgrim yield that fruit -- As may with each good Pilgrim's fancy suit, -- And may it some persuade that go astray, -- To turn their feet and heart to the right way, -- Is the hearty prayer of the Author, -- John Bunyan"", There are 20 chapters in the first part., There are 15 chapters in the second part., There are 12 chapters in the third and last part.",1,First-person,Verse,,0,0,,,"pilgrim, progress, world, similitude, dream",delivered,,John Bunyan,,,,,,,,
260662,"Weber, Henry William,",1783-1818.,Tales of the East.,Edinburgh,1812,Octavo,In three volumes.,,"Table of contents, Table of contents, Table of contents, Introduction, Errata",,0,"First-person, Third-person",,,0,0,,,"tale, tale, romances, origin, imitation, author, translation, dissertation, account, work, translator, night, entertainment, tale, romances, origin, imitation, author, translation, dissertation, account, work, translator, night, tale, romances, origin, imitation, author, translation, dissertation, account, work, translator, genii, history, son, tale, night, entertainment, night, tale, tale, tale, history, tale, night, entertainment, tale, tale, tale, tale, genii, tale, history, son","popular, Oriental, best, European, new, additional, introductory, Arabian, popular, Oriental, best, European, new, additional, introductory, Arabian, Persian, popular, Oriental, best, European, new, additional, introductory, Mogul, Turkish, Tartarian, Chinese, Arabian, new, Persian, Persian, Oriental, additional, Arabian, Mogul, Turkish, Tartarian, Chinese","East, East, East, East, East, Arabian, Delhi, East","Henry Weber, Esq, Henry Weber, Esq, Inatulla, Nourjahad, Henry Weber, Esq, Abdalla, Hanif, Inatulla, Nourjahad, Abdalla, Hanif",,,,,,,,
